"","gene_id","prot_id","entrez_id","logFC","logCPM","LR","PValue","FDR"
"13170","Dbp","XP_006540659.1",13170,2.03513149051884,5.64137960920947,49.6944616928751,1.79652331112854e-12,1.06979057692246e-09
"12575","Cdkn1a","NP_001104569.1",12575,-2.15679303181401,5.02928941978321,48.9801781403345,2.5856230629686e-12,1.47552889460075e-09
"12608","Cebpb","NP_001274667.1",12608,-2.20605587205736,4.24478646105867,48.5837928497194,3.16473816296058e-12,1.73377015519633e-09
"319554","Idi1","NP_663335.2",319554,1.3055537746152,5.1692344783232,48.3166142695245,3.62666426253989e-12,1.9104151438364e-09
"12834","Col6a2","NP_666119.1",12834,1.43837499652401,3.33414487925738,47.9925982684397,4.27831199904212e-12,2.11119131720253e-09
"74155","Errfi1","XP_006539273.1",74155,-1.38042969103783,7.53026140569256,47.9753549152174,4.31610374428087e-12,2.11119131720253e-09
"67072","Cdc37l1","XP_006527334.1",67072,-1.15687311826907,5.41267449929106,47.7626617465744,4.81067259208845e-12,2.27196454556012e-09
"67896","Ccdc80","XP_006522563.1",67896,1.24921393433185,3.11571772900056,47.214344997117,6.36330318529649e-12,2.90506001419403e-09
"13107","Cyp2f2","NP_031843.2",13107,-1.69654978105972,9.98957451959597,46.6516602987545,8.47951074980797e-12,3.74630255578613e-09
"12833","Col6a1","NP_034063.1",12833,1.43412710307956,3.69048548204417,45.4775353547588,1.54399586563775e-11,6.60830230492957e-09
"99543","Olfml3","NP_598620.2",99543,1.47826530943388,2.72398303449834,44.6007892729876,2.41594247180169e-11,1.00268933617563e-08
"14718","Got1","NP_034454.2",14718,-0.923049184341889,7.7080759506659,44.2932685918588,2.82686594868968e-11,1.13872811862511e-08
"242939","Cpz","NP_694747.2",242939,2.82640066000572,0.513049250247685,44.1718237392421,3.00779682534084e-11,1.17699386628195e-08
"13411","Dnah11","NP_034190.3",13411,2.48212514330507,2.77022825823123,43.7724659355242,3.68857976313041e-11,1.40329967877317e-08
"75750","Slc10a6","NP_083691.1",75750,-1.70719869165629,2.39895934831834,43.6824085263664,3.86227926731699e-11,1.42966964446415e-08
"380714","Rph3al","NP_083824.1",380714,-1.0071069040233,3.44166481510678,43.4997067198987,4.24022937560187e-11,1.52826793495377e-08
"66853","Pnpla2","NP_001157161.1",66853,-1.53555563288946,6.65464649304153,42.8385251311808,5.94497797785785e-11,2.06709896779775e-08
"53417","Hif3a","NP_001156422.1",53417,-3.43836400368173,1.50655601860888,42.8084480280454,6.03708810688595e-11,2.06709896779775e-08
"17534","Mrc2","XP_006532469.1",17534,1.18326420985578,2.93965885753797,42.553501600175,6.87750383723234e-11,2.29742176962766e-08
"16329","Inpp1","XP_011236744.1",16329,-0.885872739147352,4.01042347816642,41.8168866015987,1.00233990614942e-10,3.26858270348153e-08
"14219","Ctgf","NP_034347.2",14219,-1.30820476017976,6.32465013697802,41.5573917946023,1.14460886500302e-10,3.64571232908867e-08
"13008","Csrp2","NP_031818.3",13008,-1.77783451219018,8.0349123329679,41.4479219067501,1.21053176138525e-10,3.76805522816646e-08
"100040843","Cyp4a32","XP_017175367.1",100040843,-1.73642149136308,7.66137271146374,40.4980344468401,1.96813933669598e-10,5.99014141230849e-08
"210762","Ppp1r36","NP_001156575.1",210762,-1.4546335754269,3.6713371367367,40.3934743199525,2.07633446815839e-10,6.18206019041245e-08
"67057","Yaf2","NP_077151.3",67057,-0.794181042387737,5.43516062625129,39.7301142318776,2.91594512587763e-10,8.49718817957872e-08
"27528","Nrep","NP_001103458.1",27528,1.69582036994311,3.21025996565905,39.6160456707454,3.09132920233504e-10,8.81827620468288e-08
"68107","Cntd1","NP_080838.1",68107,1.5003557549327,3.56393238756367,39.5762911226439,3.15490313981791e-10,8.81827620468288e-08
"19049","Ppp1r1b","NP_659077.1",19049,-1.24800384739602,7.97932626964272,39.3919101041501,3.46730492811533e-10,9.49764165909352e-08
"70163","Lypd8","NP_001077353.1",70163,-2.45869328124581,3.84732762560716,39.298742735697,3.63675415100973e-10,9.76646761808418e-08
"26380","Esrrb","NP_001152972.1",26380,-2.10103880214197,3.7831999518427,39.2420220727116,3.74395023809712e-10,9.86098893480349e-08
"23796","Aplnr","NP_035914.1",23796,1.84989247353932,2.2691548569403,38.576661485446,5.26446841966154e-10,1.3604181033148e-07
"53376","Usp2","NP_932760.2",53376,-1.19421739099275,5.5701932714199,38.2743136633654,6.146642787645e-10,1.55897073369604e-07
"15930","Ido1","NP_032350.1",15930,-1.61463042462737,3.14985996789418,38.0659954051927,6.83917294669718e-10,1.70307841232663e-07
"18030","Nfil3","XP_006516940.1",18030,-1.67228981104404,3.621289211326,37.8746184853248,7.54403629349814e-10,1.84505573349554e-07
"11847","Arg2","NP_033835.1",11847,-1.14405572646851,7.33413386301334,37.5202365010123,9.04694566278308e-10,2.17380645258732e-07
"235584","Dusp7","NP_703189.3",235584,-1.10744053854753,5.20434404276879,37.1539736551016,1.09160078809121e-09,2.57768351615469e-07
"78903","Wrnip1","NP_084491.3",78903,-0.565129012933408,5.34195752619332,36.5912401039999,1.45684934100726e-09,3.38186586007381e-07
"74747","Ddit4","NP_083359.1",74747,-1.59303407144378,5.12794308909158,36.3415926382777,1.65591987793426e-09,3.77991310803126e-07
"13614","Edn1","NP_034234.1",13614,-1.32368016631379,1.49107886408902,36.0495240101381,1.92365771472097e-09,4.31908460013416e-07
"19735","Rgs2","NP_033087.2",19735,-1.09816739446605,4.34156988945934,35.8977862671895,2.0794484505137e-09,4.59356870616703e-07
"117198","Ivns1abp","XP_006529152.1",117198,-0.849985333960102,8.82556852511554,35.5709962069848,2.45921999108944e-09,5.34626619015253e-07
"72656","Ints8","NP_835213.3",72656,1.22096141975816,4.63813706358068,35.5055749328263,2.54321638963276e-09,5.44248307381411e-07
"18626","Per1","XP_006532543.1",18626,-1.45834618299992,5.32297230256198,34.9950548065681,3.30543740413781e-09,6.90112619322378e-07
"14066","F3","NP_034301.3",14066,-1.19374812482903,3.86954356976704,34.983212938735,3.32560111530936e-09,6.90112619322378e-07
"13117","Cyp4a10","NP_034141.3",13117,-1.82526618558812,8.15153990519449,34.8789041322621,3.5086193422753e-09,7.13469777096313e-07
"26360","Angptl2","XP_006498114.1",26360,1.17214324643319,3.38686142080004,34.860279135646,3.54234410357399e-09,7.13469777096313e-07
"20229","Sat1","NP_033147.1",20229,-1.00480995898764,7.07947617115819,34.6207326805171,4.00616668214247e-09,7.95195056211931e-07
"12048","Bcl2l1","NP_001276668.1",12048,-0.655079126567578,5.7128625401413,34.0814173673072,5.28536058758732e-09,1.03411855153708e-06
"231070","Insig1","NP_705746.1",231070,0.950824266559588,6.0044686200321,34.0418520667492,5.39393045468517e-09,1.04049678179392e-06
"114674","Gtf2ird2","XP_006504408.1",114674,1.05797442425307,5.66548288182405,33.9310063017666,5.71014079881441e-09,1.08619567195225e-06
"11568","Aebp1","NP_001278786.1",11568,1.14755851322303,3.96213666193376,33.0451302934372,9.00442940250751e-09,1.68937897392799e-06
"13106","Cyp2e1","NP_067257.1",13106,-1.4808722912426,11.2384281632817,33.0085466230404,9.17546378722648e-09,1.69820475716019e-06
"58223","Mmp19","NP_001157669.1",58223,-1.80283023187562,0.0636579784672105,32.6880331263865,1.0820133525813e-08,1.97590065026047e-06
"56484","Foxo3","XP_006512869.1",56484,-1.03615800449433,6.78748026117108,32.5095832344026,1.18606226246109e-08,2.13695341775967e-06
"100198","H6pd","NP_775547.2",100198,-1.17140873993405,8.13755822229579,32.4845931087901,1.20141218726267e-08,2.13695341775967e-06
"83965","Enpp5","NP_114392.1",83965,-0.789340125052281,7.77306946769476,32.3429229950258,1.29226997111216e-08,2.26909352876309e-06
"14645","Glul","NP_032157.2",14645,-0.80901997780396,9.65893714418106,31.9502826585491,1.58169356050086e-08,2.74213607653415e-06
"19221","Ptgfrn","XP_017174992.1",19221,0.839250467266424,4.00611851125002,31.7707845716658,1.73482759519841e-08,2.97002484297968e-06
"100043057","Tmem207","NP_001095110.1",100043057,-1.07202661207789,4.59604068994458,31.5066947819164,1.98753816803866e-08,3.36065712956266e-06
"75735","Pank1","NP_001107811.1",75735,-0.887991239743039,7.07638641528633,31.4373028527504,2.05985216846815e-08,3.44045552430972e-06
"227731","Slc25a25","NP_001157829.1",227731,-1.62416883116033,6.57946798436822,31.3353810073758,2.17087174608792e-08,3.58219993185785e-06
"24053","Sgcg","XP_006519075.1",24053,2.11868269750343,3.78817111246888,31.3109461248055,2.19836662734408e-08,3.58438444382197e-06
"268780","Egflam","NP_001276427.1",268780,1.36909727831667,3.63580025381571,31.2118541199364,2.31349041829297e-08,3.72771350222829e-06
"57436","Gabarapl1","NP_065615.1",57436,-0.817856195363122,8.470088774986,31.1682205281862,2.36608024312269e-08,3.76812034997771e-06
"64817","Svep1","NP_073725.2",64817,1.26206115728052,2.31213862599927,31.1392978252556,2.40159794863067e-08,3.78072247177536e-06
"74890","Morn3","XP_011246546.1",74890,-1.83127720721097,-0.166676212484083,30.9554493077253,2.64019742084598e-08,4.10910725862574e-06
"235320","Zbtb16","XP_006510321.1",235320,-2.53927047503579,2.45647219354447,30.8915319951085,2.72859764713657e-08,4.19897453653736e-06
"319455","Pld5","XP_006496960.1",319455,-1.53442722640841,1.04153805258793,30.8496783293939,2.78808336692798e-08,4.24284331038285e-06
"11536","Gpr182","NP_031438.2",11536,-1.2829745154065,0.926452699642277,30.7973846549446,2.86423626232418e-08,4.26484629230417e-06
"57875","Angptl4","NP_065606.2",57875,-3.02576018261847,3.58865894560808,30.7969886563928,2.86482081550805e-08,4.26484629230417e-06
"98402","Sh3bp4","NP_598577.1",98402,-0.916936395007748,5.22757782137887,30.6769924055771,3.04757358435437e-08,4.45121819007976e-06
"20541","Slc8a1","NP_001106269.1",20541,1.54600017480995,4.39559147095473,30.6574759153699,3.07838211845219e-08,4.45121819007976e-06
"14268","Fn1","NP_001263342.1",14268,1.19102620054419,4.91025822895174,30.6223107528514,3.13468320117669e-08,4.45121819007976e-06
"104184","Blmh","NP_848760.1",104184,0.995331512341028,7.18757801214569,30.6197022517675,3.13890040228744e-08,4.45121819007976e-06
"434903","Mageb4","NP_001028664.2",434903,1.66722792596947,2.77620635209532,30.6113063014641,3.15251288286899e-08,4.45121819007976e-06
"67606","Fibin","NP_080547.1",67606,-1.11012600383484,3.50544692795993,30.4358636641197,3.4508889522123e-08,4.82279337647956e-06
"232431","Gprc5a","NP_852109.2",232431,-1.14858592449561,2.81725308744307,30.1893318992544,3.91859000837994e-08,5.42111199543149e-06
"20971","Sdc4","NP_035651.1",20971,-0.825574668739107,8.81625343456243,29.9247979494045,4.49131761414521e-08,6.15130860433328e-06
"85031","Pla1a","XP_006522834.1",85031,-1.27711912910267,2.53092328306933,29.8763807841936,4.60488415971667e-08,6.19171345374944e-06
"27273","Pdk4","NP_038771.1",27273,-2.13689931313353,6.79191787977781,29.8737085641406,4.61123519481924e-08,6.19171345374944e-06
"434756","Akap14","NP_001028957.1",434756,-1.1529296842498,0.912549673594747,29.6342571581828,5.21746499855635e-08,6.93770879808037e-06
"17210","Mcl1","XP_006501151.1",17210,-1.06102769265138,5.24364432727749,29.3697465737622,5.98040095785484e-08,7.87572803065191e-06
"22695","Zfp36","NP_035886.1",22695,-1.26619208649809,5.56393331892881,29.2971558824391,6.20867522725534e-08,8.09847770595135e-06
"19886","Ros1","XP_017169347.1",19886,1.70039022708902,4.25673838230734,29.2343707545385,6.41314366382904e-08,8.28626562450967e-06
"622473","Ripply1","NP_001033004.1",622473,-1.50382598724744,3.05564730232323,29.0458884046356,7.06839599405471e-08,9.04754687239003e-06
"76500","Ip6k2","XP_006511913.1",76500,-0.684499350932323,6.21571081698894,29.0000061600188,7.23780685613339e-08,9.17861136125952e-06
"23876","Fbln5","NP_035942.1",23876,1.03668496803109,4.93224269367015,28.9234178576387,7.52970612083667e-08,9.46117936064028e-06
"12842","Col1a1","NP_031768.2",12842,1.29346365691888,3.32437325869981,28.4801743854873,9.46628674548979e-08,1.17118415719795e-05
"16644","Kng1","XP_006521876.1",16644,-1.70192681443286,4.6783046687406,28.4442179476918,9.64373487839627e-08,1.17118415719795e-05
"231583","Slc26a1","NP_777359.3",231583,1.40874982801765,6.12713446915603,28.4429978753275,9.64981416111412e-08,1.17118415719795e-05
"215384","Fcgbp","NP_001116075.1",215384,1.95536376082246,3.74643552655478,28.4403635450442,9.66295339977863e-08,1.17118415719795e-05
"320799","Zhx3","NP_796237.2",320799,-0.971648663694558,7.02690768408017,28.3838731022963,9.94906511424918e-08,1.19528417372594e-05
"58866","Treh","NP_067456.1",58866,-2.3595375508872,0.890015697354996,28.2434320825229,1.06977006007045e-07,1.27404962980216e-05
"104099","Itga9","NP_598482.2",104099,0.790542789057778,3.2309593222129,27.9096950929047,1.27111265757758e-07,1.50078956536056e-05
"14664","Slc6a9","NP_032161.2",14664,-1.67948331145521,2.79803967162164,27.8885181922825,1.2851009745743e-07,1.50433700408287e-05
"77097","Tanc2","XP_006534545.1",77097,-1.24603322354882,7.01004567209595,27.7144956876065,1.40605161292206e-07,1.63197312632038e-05
"64291","Osbpl1a","XP_017173449.1",64291,-0.651803044014869,7.43071175108097,27.1377483211173,1.89462086442485e-07,2.18056532429939e-05
"13370","Dio1","NP_031886.3",13370,1.87011334971866,4.534424063784,27.0113781194562,2.02261355990705e-07,2.30847627637391e-05
"100038882","Isg15","NP_056598.2",100038882,1.99987043895582,2.90189982607364,26.9864640417786,2.04885233044359e-07,2.31753706002266e-05
"70835","Prss22","XP_006524968.3",70835,-1.34597439725602,0.796197442893077,26.9718565618941,2.06439486947112e-07,2.31753706002266e-05
"56382","Rab9","XP_006528985.1",56382,-0.584036388777361,4.82567902078976,26.86143471728,2.18577252484047e-07,2.4338488211557e-05
"110196","Fdps","NP_608219.1",110196,0.922890133640734,4.77658572486177,26.7053161741746,2.3696865158608e-07,2.61735697751851e-05
"19662","Rbp4","NP_001152959.1",19662,-2.13250536487319,6.63726021333697,26.6647457897832,2.41996851262671e-07,2.64105394217702e-05
"13120","Cyp4b1","NP_031849.1",13120,-1.40973161808796,9.51621242350144,26.6569852366181,2.42970791993505e-07,2.64105394217702e-05
"54156","Egfl6","NP_062270.1",54156,1.40015563789479,2.45478673124774,26.6361563754837,2.45604257982519e-07,2.64865820262093e-05
"15490","Hsd17b7","XP_006496730.1",15490,1.04329861829975,3.45004350396177,26.3764415004187,2.80946336366864e-07,3.00612579912545e-05
"72479","Hsdl2","XP_006538340.1",72479,-0.683473948957974,7.18286459907602,26.3540211189128,2.84226552736493e-07,3.01764873354962e-05
"16598","Klf2","NP_032478.2",16598,-1.14740452581803,3.59759157735923,26.1947309067145,3.08663598849166e-07,3.25188973064475e-05
"239037","Lrit1","XP_017171501.1",239037,2.57891138064964,0.551699439822771,26.1796397381856,3.11085266812656e-07,3.25238459104285e-05
"59044","Rnf130","NP_001277679.1",59044,-0.504392742072938,5.44578700212699,26.0366359564797,3.34999669812773e-07,3.47587536193616e-05
"17133","Maff","NP_001291759.1",17133,-1.40782708530396,0.618816652547388,26.0129004042955,3.39143597036235e-07,3.49241406391599e-05
"30049","Scd3","NP_077770.1",30049,2.80310744695139,2.2688710082385,25.7264522045185,3.93397791321768e-07,4.02087772383801e-05
"11640","Akap1","NP_001036006.1",11640,-0.675023295663213,6.60097466415461,25.631480656292,4.13242387675631e-07,4.19242054933736e-05
"16006","Igfbp1","NP_032367.3",16006,-2.0184055437233,1.29367578007465,25.5792403299843,4.24582842727215e-07,4.27579898087642e-05
"21827","Thbs3","NP_038719.2",21827,-1.71508208311929,3.00535424401432,25.4254449791648,4.59813096569946e-07,4.5947223053771e-05
"14623","Gjb6","NP_001010937.1",14623,-2.74856724678426,2.88256259523929,25.4122820030594,4.629612135967e-07,4.5947223053771e-05
"114332","Lyve1","NP_444477.2",114332,-1.27159203687829,2.63854298635694,25.3892412647801,4.68523846266644e-07,4.6164766895453e-05
"17345","Mki67","XP_006507476.1",17345,2.58428944570278,-0.751430770450217,25.1932308882178,5.18639144499213e-07,5.07377265932945e-05
"70266","Kyat1","XP_006498378.1",70266,-1.10183981870126,5.36858512439466,24.9803170475672,5.79185803514108e-07,5.62590692548171e-05
"22401","Zmat3","NP_033543.2",22401,0.93369523810527,4.29788956660558,24.9269698295476,5.95435827407803e-07,5.74302048744879e-05
"414801","Itprip","XP_006527237.1",414801,-0.993798368736097,3.6446029926704,24.760987963982,6.48977745339598e-07,6.21566377634345e-05
"55947","Dclre1a","XP_006527280.1",55947,0.594143555608768,4.73517638644758,24.7331355647449,6.5842397462572e-07,6.26234358088463e-05
"100504663","Atg14","NP_766187.1",100504663,-0.852489008503405,4.74321583158516,24.6987318060496,6.70282657489236e-07,6.33116639791212e-05
"140723","Cacng5","XP_011247022.1",140723,2.43547245137463,-0.140721325910028,24.638125770904,6.91696371117307e-07,6.48868047864564e-05
"108167855","LOC108167855","XP_017170360.1",108167855,-2.48617228243063,2.95521975572695,24.5516076049903,7.23459587634691e-07,6.74047789948621e-05
"50915","Grb14","XP_006499946.1",50915,0.8017903995471,5.27491048456143,24.4253436908181,7.72457986309346e-07,7.14013879883336e-05
"224093","Fam43a","NP_808300.1",224093,-0.780936198109534,4.5728927778261,24.4145894126344,7.7678203930065e-07,7.14013879883336e-05
"71710","Lrrcc1","NP_083191.2",71710,1.22670887351877,7.56678864730961,24.3106495707704,8.19845373610378e-07,7.48573482464516e-05
"192231","Hexim1","NP_620092.1",192231,-0.448245731680846,6.13836729162638,24.108041011318,9.10791829188967e-07,8.26106284276298e-05
"21366","Slc6a6","XP_011239581.1",21366,-0.809427943697824,8.71065233230869,23.9253915377025,1.00142188828635e-06,9.02333827761177e-05
"109828","C7","NP_001230766.1",109828,1.27569577756954,5.32440156232096,23.874836736322,1.02806845338714e-06,9.2028925082289e-05
"106522","Pkdcc","NP_598878.2",106522,0.79645527119997,2.62423158851623,23.6801941594424,1.13747152117522e-06,0.000101161103597505
"22381","Wbp5","NP_035842.1",22381,-0.605818797217461,6.40876537074244,23.6664596542824,1.14561850291805e-06,0.000101228329135262
"76901","Jade2","XP_006534533.1",76901,-1.20774627499907,4.89703018790803,23.5697507718579,1.20466493226829e-06,0.000105763403284273
"70574","Cpm","NP_081744.1",70574,-1.71433946563979,3.99587184926943,23.4935967842708,1.2533019432145e-06,0.000109332633211884
"69137","Vstm5","XP_011240897.1",69137,1.29225205594077,2.45353560851557,23.4385015299323,1.28971284346363e-06,0.000111796880405556
"12660","Chka","XP_006531709.1",12660,-0.698849463113423,5.88401432824294,23.1757721064924,1.47848354936408e-06,0.000127041282768532
"74646","Spsb1","NP_083311.1",74646,-1.07566303234488,3.05178907532873,23.1684457659266,1.4841271351464e-06,0.000127041282768532
"108167989","LOC108167989","XP_017170797.1",108167989,0.813372708689358,3.48139483884362,23.0569454068549,1.57273338953259e-06,0.000133789791944337
"381823","Apold1","NP_001103384.1",381823,-1.62664728793729,0.440423137123305,23.0012050024189,1.61899887736094e-06,0.000136875361878614
"407243","Tmem189","NP_663513.1",407243,-0.826159038048185,5.73855740392028,22.9691267062623,1.64624076993988e-06,0.000138324623221451
"13609","S1pr1","NP_031927.2",13609,-1.07487641714324,4.76482533958329,22.8005364706557,1.7971553258984e-06,0.000150077984157334
"50518","a","XP_017174602.1",50518,-1.09649172061707,9.03111159741541,22.7889354866755,1.80803646217582e-06,0.000150077984157334
"19660","Rbp2","NP_033060.3",19660,1.87610253880404,7.26772977071213,22.7040431205126,1.88969841849494e-06,0.000155911503251245
"12738","Cldn2","NP_057884.1",12738,-1.11580905996792,9.30463916199506,22.5838232748197,2.01171369813104e-06,0.000164984615626364
"242669","Azin2","NP_001288770.1",242669,-1.78721423193476,4.37467964864921,22.5562967794108,2.04074537486121e-06,0.000166369337226781
"19039","Lgals3bp","NP_035280.1",19039,1.23437854616819,4.67007312384221,22.5431664442481,2.05474137825661e-06,0.000166519159269837
"231004","Samd11","NP_001103986.1",231004,0.698667957341456,2.61072180989705,22.5128295202583,2.08744774194138e-06,0.000168174613374289
"71704","Arhgef3","XP_006519638.1",71704,-0.58763568260423,6.2522503309868,22.4099569758022,2.2022932601993e-06,0.000176389523343214
"68275","Rpa1","NP_080929.1",68275,-0.533713937406297,5.91735715545342,22.3624103238156,2.25749505050809e-06,0.000179022700770012
"68732","Lrrc16a","NP_001298051.1",68732,-0.549062925980467,5.05637365492991,22.3591660509913,2.26131185990159e-06,0.000179022700770012
"53602","Hpcal1","XP_006515219.1",53602,-1.00377941374409,5.8769156396427,22.3160549093086,2.31264997972571e-06,0.000182034793806456
"12824","Col2a1","NP_001106987.2",12824,1.02387483861502,2.70769635493114,22.0559482019121,2.64817780731178e-06,0.000207253961422527
"23794","Adamts5","NP_035912.2",23794,0.955419685393781,2.60409193685111,21.9859501117142,2.74653682961532e-06,0.000213730502377338
"214855","Arid5a","NP_001277655.1",214855,-1.31602102343555,0.889621508463554,21.8205604370331,2.9937482251067e-06,0.000231651840062494
"209351","Wfdc6a","XP_011237710.1",209351,-1.70668258592398,-0.874096802282956,21.7702664585985,3.07326196320046e-06,0.000236174666746444
"231633","Tmem119","NP_666274.1",231633,1.87304174249221,1.20052087431234,21.7619038641706,3.08668701428253e-06,0.000236174666746444
"19378","Aldh1a2","NP_033048.2",19378,1.12638790950403,3.77933948022991,21.7394584786669,3.1230117782876e-06,0.000237626496196816
"224650","Anks1","NP_001272969.1",224650,-0.611358606363424,6.30163168892134,21.4960064650387,3.54566289524897e-06,0.000268295022173093
"16994","Ltb","NP_032544.1",16994,1.29521968378922,1.2688076000079,21.4779442874139,3.57921785599575e-06,0.000269345976679768
"207683","Igsf11","XP_011244153.1",207683,0.847518201646921,5.095270766325,21.3964277394678,3.73466373834406e-06,0.000279507948417269
"12727","Clcn4","XP_006539565.1",12727,0.696825666389599,6.16245807377601,21.3826168249622,3.76166332779963e-06,0.000279998592051868
"15937","Ier3","NP_598423.1",15937,-0.953952523249095,5.86717933659652,21.3661937225085,3.7940246649709e-06,0.00028088087465644
"70546","Zdhhc2","XP_006509548.1",70546,0.917728647887753,5.57044736303725,21.2998922736365,3.92753569122455e-06,0.000289201767887158
"76282","Gpt","NP_877957.1",76282,-1.72018829152606,6.96739282937521,21.278299381191,3.97202710221244e-06,0.000290913813860436
"207911","Mchr1","NP_660114.1",207911,-3.5170418622632,-1.92132984806268,21.0392031444787,4.49981337589766e-06,0.000326942338179947
"229595","Adamtsl4","NP_659148.2",229595,-0.946121209591831,3.03101498600715,21.0341528530575,4.51168968428811e-06,0.000326942338179947
"27057","Ncoa4","NP_001029160.1",27057,-0.712412909611998,8.70777155280725,20.9931681000308,4.60924063623755e-06,0.000332253472388997
"72113","Adck1","XP_006516309.1",72113,-1.2772179071345,6.03201384952891,20.947363426362,4.72077096974632e-06,0.000338511409432699
"20497","Slc12a3","XP_017168114.1",20497,1.16534553282867,7.4137774928683,20.8936160441932,4.85509980240771e-06,0.00034633045257175
"56012","Pgam2","NP_061358.1",56012,1.10497236244685,3.36289062677803,20.836449768349,5.00218616372661e-06,0.000354973791183418
"108156","Mthfd1","NP_620084.2",108156,-0.630775413862582,7.72384100365158,20.7893265080115,5.12678932663598e-06,0.000361940755760858
"66654","Tex12","NP_079963.1",66654,-0.977369890482982,2.67994034807272,20.6572253602991,5.49295056784953e-06,0.000385781426767949
"11606","Agt","NP_031454.3",11606,-1.48225485289834,6.10017695080929,20.6475354396101,5.52082065176095e-06,0.000385781426767949
"17988","Ndrg1","NP_032707.2",17988,-0.998872363318126,11.4431172762101,20.5834003246682,5.70889861733994e-06,0.00039689886021872
"108015","Chrnb4","NP_031550.2",108015,1.18369142359373,3.20729018015304,20.5566524421872,5.78922554319913e-06,0.000400450671917451
"20410","Sorbs3","XP_006518799.1",20410,-0.676231698902104,4.50434208631606,20.5456381443162,5.82263158157418e-06,0.000400737498197186
"14611","Gja3","NP_058671.2",14611,1.22288249037702,2.64398335206464,20.4905668311423,5.99258609847466e-06,0.000410372296023545
"94242","Tinagl1","NP_075965.2",94242,-1.07469565288971,6.22625989656675,20.4738688688335,6.04509456686092e-06,0.000411908533272275
"57259","Tob2","NP_065253.1",57259,-0.867042660470694,4.86454581358094,20.4106869990601,6.24799061998436e-06,0.000423626136293593
"276920","Ccdc42","NP_808447.2",276920,3.56658015994821,-1.98693354530277,20.2920598210927,6.64758851818072e-06,0.000448499371157651
"14969","H2-Eb1","NP_034512.2",14969,1.59492071724304,3.16325726856096,20.2525045779176,6.78645597554729e-06,0.000454514301756156
"18815","Plg","NP_032903.3",18815,-1.65159134236912,4.67466505179102,20.2478147105852,6.80311272342377e-06,0.000454514301756156
"14595","B4galt1","NP_071641.1",14595,-0.704604643359888,5.43954057048606,20.2115277762279,6.93338596683631e-06,0.000460969195154321
