"","gene_id","prot_id","entrez_id","logFC","logCPM","LR","PValue","FDR"
"223775","Pim3","NP_663453.1",223775,-2.03733228260793,6.64362053594819,89.7843593209243,2.65585614531754e-21,3.6374605766269e-17
"13121","Cyp51","NP_064394.2",13121,1.30984278940141,6.38810729458387,86.8638588035805,1.16254518758202e-20,7.9611094445617e-17
"18194","Nsdhl","NP_035071.3",18194,1.1760108835058,5.01639038911276,85.7649889984622,2.02642388065275e-20,9.25130048980667e-17
"16835","Ldlr","NP_034830.2",16835,1.82963140796865,4.35939031804523,82.0061218628085,1.35665818830018e-19,4.64519763673982e-16
"14161","Fga","NP_034326.1",14161,-2.85198908595948,6.09452152937519,78.1139628669084,9.72639890182868e-19,2.66425518718891e-15
"272428","Acsm5","XP_006507968.1",272428,-1.67947244935068,7.70426377719569,77.6500267022368,1.23014639897323e-18,2.80801418005622e-15
"12819","Col15a1","NP_034058.2",12819,2.32840347221395,3.64366649648131,76.8504946991559,1.84402029149747e-18,3.60795741604991e-15
"66270","Fam134b","NP_001030023.1",66270,-1.43944566767081,6.8448152140752,71.6158999268873,2.6144144924623e-17,4.47587761109545e-14
"14229","Fkbp5","NP_034350.1",14229,-2.47813987031658,5.39959576251532,66.5271667516452,3.45104489934062e-16,5.2517234379299e-13
"12609","Cebpd","NP_031705.3",12609,-1.56798583649005,4.96366110757465,65.920525892727,4.69476866113338e-16,6.42995515828827e-13
"12825","Col3a1","NP_034060.2",12825,2.11112652747816,4.49577895912369,64.2229874834824,1.11104838299629e-15,1.34982969760588e-12
"14605","Tsc22d3","NP_001070832.1",14605,-1.94830997743836,8.25553288657681,64.0998959273014,1.18267788925749e-15,1.34982969760588e-12
"11571","Crisp1","XP_006523563.1",11571,-4.18032497601911,4.46615221913621,61.9266320677885,3.56495315653396e-15,3.75581526399147e-12
"23882","Gadd45g","NP_035947.2",23882,-2.29001707571537,4.0829215808178,56.17541712469,6.62851419015854e-14,6.48458073917224e-11
"231691","Sds","NP_663540.1",231691,-4.95898297558219,2.13993719080723,54.9577179547258,1.23150838053005e-13,1.070426640053e-10
"22042","Tfrc","NP_035768.1",22042,1.28163517656064,5.9437768057026,54.9276421222045,1.25049841127687e-13,1.070426640053e-10
"16987","Lss","XP_006513346.1",16987,1.08420874853647,4.33391345107725,54.0197156374363,1.98487928314596e-13,1.5991121565863e-10
"20775","Sqle","NP_033296.1",20775,1.41186889405769,4.55362635168543,52.6527518020416,3.98052785878081e-13,3.028739419659e-10
"12843","Col1a2","NP_031769.2",12843,1.853787395836,4.17732978880466,52.4170618653257,4.48807707365615e-13,3.23519492635761e-10
"15360","Hmgcs2","NP_032282.2",15360,-3.98772529267108,6.8741157227832,51.2269641100364,8.22806315299203e-13,5.63457764716894e-10
"18035","Nfkbia","NP_035037.2",18035,-1.35158396041738,5.95612225986014,50.9307214601834,9.56841952350693e-13,6.24043208542623e-10
"228846","D630003M21Rik","NP_001124493.1",228846,1.75622375633614,3.77632463999421,50.0671332648817,1.48574826509957e-12,9.24945829036535e-10
